"station","lat_mean","lon_mean"
"61",25.1666416666667,-81.275475
"62",25.1667416666667,-81.2428116666667
"63",25.1666034482759,-81.2007724137931
"64",25.1657653846154,-81.1601365384615
"65",25.0976181818182,-81.0959636363636
"66",25.0680071428571,-81.1088660714286
"67",25.030098245614,-81.1267877192982
"68",24.9303426229508,-81.1669114754098
"69",24.9300304347826,-81.0946956521739
"7",24.8170850746269,-80.7549462686567
"70",24.9298152173913,-81.0312652173913
"71",24.9306,-80.9696
"8",24.7922819672131,-80.7419098360656
"9",24.7628208,-80.7231488
"9.5",24.7167863636364,-80.689761038961
"9.6",24.6634,-80.6576
"9.7",24.583,-80.6103
"9.8",24.4665,-80.526
"AC1",28.2402,-82.8976
"AC2",28.238,-82.9536
"AC3",28.2387,-83.0638
"AC4",28.2392,-83.231
"AC5",28.2437,-83.3956
"AC6",28.2384,-83.5726
"AMI1",27.4965464285714,-82.7510035714286
"AMI2",27.458737704918,-82.8447032786885
"AMI3",27.4205225806452,-82.9389
"AMI4",27.3819508474576,-83.032593220339
"AMI5",27.34249,-83.1274583333333
"AMI6",27.30493,-83.2218266666667
"AMI7",27.2655564516129,-83.3162967741935
"AMI8",27.2280451612903,-83.4099870967742
"AMI9",27.1891174603175,-83.5034571428571
"BG1",26.7124436363636,-82.2593690909091
"BG10",26.3591,-83.5071
"BG11",26.3175,-83.6534
"BG12",26.2722,-83.8078
"BG13",26.2278538461538,-83.9615538461538
"BG14",26.1826,-84.1152
"BG15",26.1370384615385,-84.2617153846154
"BG16",26.0932,-84.419
"BG17",26.04686,-84.573
"BG18",26.0126,-84.7191
"BG2",26.6884134328358,-82.3398865671642
"BG20",25.9327,-85.0218571428571
"BG3",26.6684811594203,-82.4169739130435
"BG4",26.630161971831,-82.5565225352113
"BG6",26.5440516129032,-82.8694322580645
"BG7",26.4944842105263,-83.03685
"BG8",26.4498,-83.192
"BG9",26.4062,-83.3453
"BK1",24.7477,-81.9474
"CAL1",26.418148,-81.96003
"CAL2",26.3833026315789,-82.0002828947368
"CAL3",26.3415815789474,-82.0442
"CAL4",26.2536766233766,-82.1383818181818
"CAL5",26.1833051948052,-82.2163246753247
"CAL6",25.9401441176471,-82.4808161764706
"CAL7",26.1575,-82.0542
"CAL8",26.0623,-82.045
"CALA",26.3263,-82.4846
"CK1",25.7393,-81.773
"CK2",25.6496,-82.0151
"CW1",28.0100433333333,-82.8497966666667
"CW2",28.016915,-82.89157
"CW3",28.0101,-82.9604311111111
"CW4",28.01169,-83.07929
"CW5",28.0117448275862,-83.235775862069
"CW6",28.0120407407407,-83.3960481481482
"CW7",28.012032,-83.568804
"Caseyhole",26.4837,-82.7369
"EB1",26.9232,-82.3843
"EB2",26.9238,-82.5417
"EH07",27.4864,-83.4177
"EH08",27.326,-83.3587
"EKIN",25.3337947368421,-80.2230649122807
"EKMID",25.3141898305085,-80.1947728813559
"EKOFF",25.2951389830508,-80.1641389830508
"GP1",26.804075,-82.29815
"GP1.5",26.7853,-82.3048
"GP2",26.77615,-82.3531
"GP3",26.741125,-82.422325
"GP4",26.66745,-82.55865
"GP5",26.5956357142857,-82.6955309523809
"GS",25.7835,-82.7378
"Glider",27.0765,-83.30215
"HB1",28.5446,-82.891
"HB2",28.5815,-82.9938
"HB3",28.628,-83.1546
"HB4",28.6862,-83.3097
"HB5",28.7352,-83.4676
