station,lat_mean,lon_mean,depth_m
TB11,27.61795,-83.6787,46.0
TB12,27.619,-83.8658,51.0
TB13,27.6163,-84.0623,63.0
TB2,27.73848971,-82.92770588,10.490743637084961
TB3,27.67214928,-83.00012174,15.11101245880127
TB4,27.61739118,-83.13232206,23.910581588745117
TB5,27.61721642,-83.29926418,32.0743293762207
TB6,27.84046667,-82.85703333,5.072927474975586
TB7,27.83865,-82.9429,9.59790325164795
TB8,27.84325,-83.0269,12.588201522827148
TB9,27.83846,-83.13436,20.183748245239258
TBA,27.6779,-82.8693,9.397905349731445
TBB,27.6053,-82.8689,11.297002792358398
TBC,27.5288,-82.8581,12.467443466186523
UKIN,24.93501724,-80.56561724,4.221492290496826
UKMID,24.91975,-80.54654483,6.138774871826172
UKOFF,24.89836102,-80.52959322,29.05260467529297
V1,27.10950462,-82.47993077,8.689912796020508
V10,26.6237,-83.2445,46.0
V11,26.519,-83.41,54.0
V2,27.07185286,-82.54667143,12.51630973815918
V3,27.03336324,-82.61526618,15.838004112243652
V4,26.99414225,-82.68373099,20.895965576171875
V5,26.95481642,-82.75214328,25.0
V6,26.9165831,-82.82079296,28.0
V7,26.877172,-82.88846,30.0
V8,26.83136618,-82.95855441,34.0
V9,26.73003816,-83.10078289,40.0
WS,24.4757746,-81.7160627,6.0
Z03027,25.1061,-81.785,15.0
Z03076,25.3005,-82.1801,25.0
Z03116,25.3775,-81.9113,16.0
Z03146,25.5754,-82.0103,20.0
Z03198,25.5931,-81.9796,19.0
Z04067,26.4169,-82.3957,16.67734146118164
Z04068,26.4249,-82.3156,11.816324234008789
Z04093,26.5214,-82.2823,10.257180213928223
Z04099,26.5834,-82.7386,28.41715431213379
Z04110,26.6071,-82.4678,19.334238052368164
Z04610,26.6379,-82.5892,21.952550888061523
