variable,station_type,month,depth_bin_low,depth_bin_high,n,median,p01,p99,mean,std,min,max
practical_salinity,deep_cast,2,280,290,400,35.18097442988345,35.03536525422964,35.303913527062285,35.17762538235479,0.09878610271062774,35.03517816550776,35.3042618412474
practical_salinity,deep_cast,2,290,300,400,35.167344622130614,35.02700905394897,35.30063741351551,35.16371675424098,0.09460071393281579,35.0262710049808,35.303107956700146
practical_salinity,deep_cast,2,300,310,400,35.15889707958303,35.01845466978983,35.283121049741595,35.154297886878524,0.09370701269039669,35.016086936875695,35.289963921155405
practical_salinity,deep_cast,2,310,320,400,35.1373736157437,35.01103767478284,35.27559113525021,35.140141569354334,0.09371765965995985,35.0081790947969,35.2879434359126
practical_salinity,deep_cast,2,320,330,315,35.100517579232815,35.00757712974988,35.27112891357206,35.09453169553492,0.06904789505075622,35.00738663951996,35.272221707441375
practical_salinity,deep_cast,2,330,340,139,35.007520584573015,35.00598898989873,35.11255765132186,35.03117405001831,0.03891821866260187,35.005475244015514,35.133134297764514
practical_salinity,deep_cast,3,0,10,8861,36.29635405032644,34.9712871563619,36.55757911525222,36.1621680468598,0.38718255053917805,34.50514301047888,36.711157363003664
practical_salinity,deep_cast,3,10,20,10676,36.30897451690208,35.047624200274825,36.55628195378996,36.19252384180933,0.3398896228595248,34.89235311708623,36.73786681660189
practical_salinity,deep_cast,3,20,30,8013,36.34636862223299,35.59444272662117,36.736117798978114,36.276576463824476,0.2221457651271872,35.40155601678106,36.79994855163834
practical_salinity,deep_cast,3,30,40,3781,36.34982691302775,35.795343523638884,36.517514448038,36.3213249495189,0.15028121365331498,35.72416564219082,36.52733759112979
practical_salinity,deep_cast,3,40,50,1682,36.384927990111166,36.05173296847403,36.502364339851454,36.3605287604699,0.12033257620778855,36.02863531317687,36.506526134678126
practical_salinity,deep_cast,3,50,60,1058,36.43728445455574,36.294720110005485,36.531067347647706,36.42011399482625,0.0675957509727864,36.176424720955524,36.58112769550159
practical_salinity,deep_cast,3,60,70,963,36.44362051699818,36.30524317167658,36.62133048464622,36.43179812644467,0.08573338335431546,36.22659031213449,36.62670765192453
practical_salinity,deep_cast,3,70,80,750,36.4536502031659,36.26138243294311,36.6671848544869,36.43493495430239,0.11978381427618771,36.24309318550545,36.67805212777442
practical_salinity,deep_cast,3,80,90,700,36.44942862154892,36.186582638167934,36.66551136565829,36.406284662002136,0.14086495827623066,36.173795467918644,36.66864828855498
practical_salinity,deep_cast,3,90,100,700,36.38921661676491,35.929035336523285,36.58022370392711,36.331416850589186,0.17718422123013028,35.90423988652106,36.58627747192634
