variable,station_type,month,depth_bin_low,depth_bin_high,n,median,p01,p99,mean,std,min,max
conductivity,deep_cast,1,270,280,2206,3.9816798135093285,3.7661742996691827,4.136982921050308,3.935477022388076,0.14784212266801147,3.7652375941604106,4.140288129686206
conductivity,deep_cast,1,280,290,2948,3.7632469865563563,3.7579028731450403,4.096681359958856,3.8641989521642826,0.1331900976946727,3.7578009150592098,4.100782166198865
conductivity,deep_cast,1,290,300,1322,3.953296973057596,3.948241988457662,4.073495250694162,4.003489649640795,0.05636682217844814,3.948032547274031,4.074978777403414
conductivity,deep_cast,1,300,310,3898,3.949208439524068,3.9438165898691566,4.045212998838927,3.959307532555424,0.027037257053538127,3.943090530770545,4.048230629790251
conductivity,deep_cast,1,310,320,1429,3.9488391893614785,3.9428549058993494,4.010805814555585,3.9743171596579994,0.052438845565387755,3.942054178729405,5.59940188345527
conductivity,deep_cast,1,320,330,490,3.9947934042496973,3.980086159976878,4.005415537491241,3.9943032163780767,0.006323194116485363,3.9760777216008494,4.006991475221467
conductivity,deep_cast,1,330,340,626,3.958388206697643,3.9425956945864282,3.986380355718102,3.9546656136915925,0.10786676458929359,2.0613099141176603,3.9876626719548716
conductivity,deep_cast,1,340,350,496,3.9417942026924147,3.9321653580060176,3.9453976971817197,3.9415496524149507,0.002533564901689523,3.929155505144131,3.945552857193038
conductivity,deep_cast,1,350,360,624,3.916468618832588,3.897044915188077,3.9397539532012913,3.9171113285889874,0.0135637365661539,3.896837999631387,3.9406233034333233
conductivity,deep_cast,1,360,370,564,3.8896535595293065,3.8649036232354184,3.901554713120767,3.886782912272104,0.010969996233671203,3.8648535088856306,3.9026060617188745
conductivity,deep_cast,1,370,380,504,3.8632496867868698,3.8543516222059595,3.883112219165851,3.863419775285595,0.0063909899723264,3.8533979938570084,3.883897657275167
conductivity,deep_cast,1,380,390,546,3.8526299845741265,3.8419171811281827,3.8611743607255287,3.852145423089617,0.0048147928330147935,3.8418261684954573,3.864405614230501
conductivity,deep_cast,1,390,400,590,3.8395066629342134,3.831936931434034,3.8523910585349785,3.840649198772254,0.004978564316879589,3.8317115144264586,3.852485890381591
